Time: 20211118-110947, Setting: miniImagenet-novel-ResNet10-baselinecutmixlabelsmoothing-aug 5shot 5way_test, Acc: 600 Test Acc = 74.25% +- 0.64% 
Time: 20211118-121455, Setting: miniImagenet-novel-ResNet10-baselinecutmixlabelsmoothing-aug 5shot 5way_test, Acc: 600 Test Acc = 74.19% +- 0.64% 
Time: 20211118-124538, Setting: miniImagenet-novel-ResNet10-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 71.84% +- 0.65% 
Time: 20211118-125723, Setting: miniImagenet-novel-ResNet10-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 72.39% +- 0.66% 
Time: 20211118-131900, Setting: miniImagenet-novel-ResNet10-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 72.45% +- 0.63% 
Time: 20211118-133327, Setting: miniImagenet-novel-ResNet10-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 72.06% +- 0.67% 
Time: 20211118-163612, Setting: miniImagenet-novel-Conv4Drop-baselinecutmixlabelsmoothing-aug 5shot 5way_test, Acc: 600 Test Acc = 67.59% +- 0.69% 
Time: 20211118-163618, Setting: miniImagenet-novel-Conv4Drop-baselinecutmixlabelsmoothing-aug 5shot 5way_test, Acc: 600 Test Acc = 67.28% +- 0.69% 
Time: 20211118-164854, Setting: miniImagenet-novel-Conv4-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 63.70% +- 0.66% 
Time: 20211118-170045, Setting: miniImagenet-novel-Conv4-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 64.42% +- 0.61% 
Time: 20211118-194301, Setting: miniImagenet-novel-Conv4-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 49.79% +- 0.67% 
Time: 20211118-194609, Setting: miniImagenet-novel-Conv4Drop-baselinecutmixlabelsmoothing-aug 5shot 5way_test, Acc: 600 Test Acc = 54.40% +- 0.69% 
Time: 20211118-201519, Setting: miniImagenet-novel-Conv4-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 63.79% +- 0.65% 
Time: 20211118-201535, Setting: miniImagenet-novel-Conv4Drop-baselinecutmixlabelsmoothing-aug 5shot 5way_test, Acc: 600 Test Acc = 66.13% +- 0.68% 
Time: 20211118-203150, Setting: miniImagenet-novel-Conv4-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 61.95% +- 0.68% 
Time: 20211118-203151, Setting: miniImagenet-novel-Conv4Drop-baselinecutmixlabelsmoothing-aug 5shot 5way_test, Acc: 600 Test Acc = 65.12% +- 0.67% 
Time: 20211118-204944, Setting: miniImagenet-novel-Conv4Drop-baselinecutmixlabelsmoothing-aug 5shot 5way_test, Acc: 600 Test Acc = 65.25% +- 0.70% 
Time: 20211118-205003, Setting: miniImagenet-novel-Conv4-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 62.47% +- 0.69% 
Time: 20211118-212027, Setting: miniImagenet-novel-Conv4Drop-baselinecutmixlabelsmoothing-aug 5shot 5way_test, Acc: 600 Test Acc = 66.22% +- 0.69% 
Time: 20211118-212030, Setting: miniImagenet-novel-Conv4-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 62.54% +- 0.69% 
Time: 20211118-214513, Setting: miniImagenet-novel-Conv4Drop-baselinecutmixlabelsmoothing-aug 5shot 5way_test, Acc: 600 Test Acc = 65.70% +- 0.66% 
Time: 20211118-214515, Setting: miniImagenet-novel-Conv4-baseline-aug 5shot 5way_test, Acc: 600 Test Acc = 62.53% +- 0.67% 
Time: 20211118-221319, Setting: miniImagenet-novel-Conv4Drop-baselinecutmixlabelsmoothing-aug 5shot 5way_test, Acc: 600 Test Acc = 67.39% +- 0.73% 
